Common name,Smiles,Activity Type,p-value (-log)
CHEMBL142020,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1,Ki,6.82
CHEMBL169193,CNc1cc(OC)c(C(=O)NC[C@H]2CN(Cc3ccccc3)C[C@H]2C)cc1Cl,Ki,6.82
CHEMBL272395,Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1,Ki,6.82
CHEMBL211539,COc1ccccc1N1CCN(Cc2cn3cc(C)cc(Br)c3n2)CC1,Ki,6.82
CHEMBL3676895,O=C(N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1)c1ccc(C(F)(F)F)cc1,Ki,6.82
CHEMBL2325928,CN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4cnn(C)c4)cc23)CC1,Ki,6.82
CHEMBL298875,COc1c(C(=O)N[C@@H]2CCN(Cc3ccccc3)C2)cc(Br)c2ccccc12,Ki,6.82
CHEMBL4516799,CCc1cccc(N2CCN(CC(O)CCNC(=O)c3nc(C)c[nH]3)CC2)c1Cl,Ki,6.82
CHEMBL4876926,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1cccc(Br)c1)CC2,Ki,6.82
CHEMBL3695395,Cc1ccc(C(=O)N[C@H]2CC[C@H](CCN3CCC(c4cccc5c4CCO5)CC3)CC2)cn1,Ki,6.82
CHEMBL4451351,COc1ccccc1N1CCN(CCN2CCc3ncsc3CC2)CC1,Ki,6.82
CHEMBL360394,O=C(NC1CCN(Cc2ccccc2)C1)c1cccc(-c2ccccc2)c1,Ki,6.82
CHEMBL476393,O=C1c2ccccc2CCCN1CCCCN1CCN(c2ncccn2)CC1,Ki,6.82
CHEMBL3664827,N#Cc1ccc(C(=O)N[C@H]2CC[C@H](CCN3CCC(c4cccc5c4OCO5)CC3)CC2)cc1,Ki,6.82
CHEMBL29436,COc1c(C(=O)NCCN2CCN(c3ccccc3[N+](=O)[O-])CC2)cc(Br)c2ccccc12,Ki,6.82
CHEMBL4760689,CC(=O)Nc1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1C,Ki,6.82
CHEMBL2326486,CCN[C@@H]1Cc2cc3nc(N)sc3cc2C1,Ki,6.82
ISOLOXAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Oc3ccccc32)CC1,Ki,6.82
CHEMBL201743,CC(C)(C)c1nc(N2CCN(CCCCn3c(=O)ccc4ccccc43)CC2)cc(C(F)(F)F)n1,Ki,6.82
CHEMBL3139393,CCCCCCNC[C@H]1CCc2ccc(O)cc2O1,Ki,6.82
CHEMBL3695382,O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1)C1CC1,Ki,6.82
CHEMBL4454000,CCOc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1,Ki,6.82
CHEMBL2207635,COc1ccccc1N1CCN(Cc2cc(CO)c3cccccc2-3)CC1,Ki,6.82
CHEMBL4451683,CCc1cccc(N2CCN(CC(O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl,Ki,6.82
CHEMBL4442419,COc1ccc(N(Cc2cccc(OC)c2)NC(=O)NCCCN2CCN(c3ccccc3OC)CC2)cc1,Ki,6.82
CHEMBL4790699,CC(=O)Nc1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1F,Ki,6.83
CHEMBL231183,Cc1ccc2nc(-c3ccc(OCCCCN4CCN(c5cccc(Cl)c5Cl)CC4)cc3)cn2c1,Ki,6.83
CHEMBL3695397,CN1CCN(c2ccc(C(=O)N[C@H]3CC[C@H](CCN4CCC(c5cccc6c5CCO6)CC4)CC3)cc2)CC1,Ki,6.83
CHEMBL399195,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@@H](NS(=O)(=O)c3ccccc3F)CC2)CC1,Ki,6.83
CHEMBL148694,Cc1ccc2c(c1)C(NC1CC3CCC(C1)N3Cc1ccccc1)=Nc1cccnc1N2,Ki,6.83
CHEMBL4449936,COc1ccc(CN2CC=C(c3c[nH]c4ccc(OC)cc34)CC2)cc1,Ki,6.83
CHEMBL3664873,CN1CCC(C(=O)N[C@H]2CC[C@H](CCN3CCC(c4cccc5c4OCO5)CC3)CC2)CC1,Ki,6.83
CHEMBL3323011,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)c3cn4ccccc4n3)CC2)cc(C(F)(F)F)n1,Ki,6.83
CHEMBL3664849,O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1)c1ccc(Cl)cc1,Ki,6.83
CHEMBL175734,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,Ki,6.83
CHEMBL3647691,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccncc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](NC[C@H](Cc2ccc(O)cc2)NC(=O)C[S+]([O-])C[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)CCCCNC(=O)[C@H](Cc2ccccc2)NC1=O,Ki,6.83
CHEMBL202774,CCc1cn(CCCCN2CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC2)c(=O)[nH]c1=O,Ki,6.83
CHEMBL4100470,O=S(=O)(c1cncc2ccccc12)N1CCC(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)CC1,Ki,6.83
CHEMBL4291048,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,6.83
CHEMBL2057456,COc1cc2c(cc1O)[C@@H]1Cc3c(CO)c(OC)cc(OC)c3CN1CC2,Ki,6.83
CHEMBL4241180,COc1cc(CN2CCN(c3ccccc3OC)CC2)ccc1OCc1cn(CCCCCCCCN(C)CCCCCNC(=O)COc2cccc(C#Cc3csc(C)n3)c2)nn1,Ki,6.83
CHEMBL5089655,N#CC(CCNCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)(c1ccccc1)c1ccccc1,Ki,6.83
CHEMBL5186688,O=c1n(Cc2ccc(CN3CCN(c4cccc(Cl)c4)CC3)cc2)nc2ccccn12,Ki,6.83
CHEMBL3085823,CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,Ki,6.83
CHEMBL2334882,COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@@H]1C2)OCC4,Ki,6.83
CHEMBL4081383,O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)CC1,Ki,6.83
CHEMBL3740235,CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cc(F)ccc2F)CC1,Ki,6.83
CHEMBL5427288,COc1cccc2c3c(oc12)CN(CCCOc1ccc2ccc(=O)[nH]c2c1)CC3,Ki,6.83
CHEMBL64117,CN1CCc2cc(Cl)c(O)cc2[C@@H]1Cc1ccccc1,Ki,6.84
CHEMBL3697984,CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,Ki,6.84
CHEMBL5172673,O=c1n(CCCCCCN2CCN(c3cccc4cccnc34)CC2)nc2ccccn12,Ki,6.84
CHEMBL5435235,CC1CCC(CN2CCN(c3cccc(Cl)c3Cl)CC2)CN1CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,Ki,6.84
CHEMBL390129,COc1ccc(S(=O)(=O)N[C@H]2CC[C@@H](N3CCC(c4ccccc4OC(C)C)CC3)CC2)cc1OC,Ki,6.84
CHEMBL3903542,O=C1CCc2ccc(OCC3CCC(CN4CCN(c5cccc(Cl)c5Cl)CC4)CC3)cc2N1,Ki,6.84
CHEMBL92578,CCCN1CCC[C@@H](c2cccc(C=O)c2)C1,Ki,6.84
CHEMBL4086211,O=S(=O)(c1cncc2ccccc12)N1CCC(CCN2CCN(c3ccc(Cl)c(Cl)c3)CC2)CC1,Ki,6.84
CHEMBL497338,CN(CCc1ccccc1OC(F)(F)F)CCN1CCCCC1,Ki,6.84
CHEMBL3797209,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,Ki,6.84
(+)-AJ76,CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C,Ki,6.84
CHEMBL129927,Cc1ccc(OCCNCCCOc2ccccc2)cc1C,Ki,6.84
CHEMBL222755,Cc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,Ki,6.84
CHEMBL1851962,O=C1CCc2ccc(OCCCCN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2N1,Ki,6.84
CHEMBL2165128,O=C1CCc2ccc(OC[C@H]3CC[C@H](CN4CCN(c5cccc(Cl)c5Cl)CC4)CC3)cc2N1,Ki,6.84
7-OH-DPAT,CCCN(CCC)C1CCc2ccc(O)cc2C1,Ki,6.84
CHEMBL216439,CN1CCCc2c([nH]c3ccccc23)Cc2ccccc2CC1,Ki,6.84
CHEMBL229085,COc1ccc(S(=O)(=O)N[C@H]2CC[C@@H](N3CCC(c4ccccc4OC4CC4)CC3)CC2)cc1OC,Ki,6.84
CHEMBL3139475,Oc1ccc2c(c1)O[C@@H](CNCc1ccccc1OCCCCF)CC2,Ki,6.84
CHEMBL125580,COc1ccccc1N1CCN(CCCCN2C(=O)c3cc4ccccc4cc3C2=O)CC1,Ki,6.84
CHEMBL3695379,O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1)C1CCC1,Ki,6.84
BP 897,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,Ki,6.84
CHEMBL27254,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(I)cc2)CC1,Ki,6.84
CHEMBL2386621,COc1ccccc1N1CCCN(CCCCNC(=O)c2ccc(Br)nc2)CC1,Ki,6.84
CHEMBL3697970,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1CC1(F)F,Ki,6.84
CHEMBL1457510,COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,Ki,6.84
CHEMBL126780,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3oc2=O)CC1,Ki,6.84
CHEMBL3697969,CCCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,Ki,6.84
CHEMBL213004,CO/N=C(/c1ccc(Cl)cc1)C(C)CN1CCN(c2ccccn2)CC1,Ki,6.84
CHEMBL194727,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(F)cc2)CC1,Ki,6.85
CHEMBL203302,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(N3CCOCC3)cc2)CC1,Ki,6.85
CHEMBL4544086,COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccc(F)cc2)c2ccccc2)CC1,Ki,6.85
CHEMBL3286579,c1ccc(-c2ccc(CN3CCN4c5cccc6[nH]cc(c56)CC4C3)cc2)cc1,Ki,6.85
quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,Ki,6.85
CHEMBL4595569,O=S1(=O)c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccccc2Cl)CC1,Ki,6.85
CHEMBL141845,COc1ccccc1N1CCN(CCNC(=O)c2cnn3ccccc23)CC1,Ki,6.85
CHEMBL4469539,O=C1c2cccc3cccc(c23)C(=O)N1CCCCCCN1CCN(c2ccccc2[N+](=O)[O-])CC1,Ki,6.85
CHEMBL3286569,CCN1CCN2c3cccc4[nH]cc(c34)CC2C1,Ki,6.85
CHEMBL201386,CC(C)(C)c1nc(N2CCN(CCCCN3C(=O)CC(=O)c4ccccc43)CC2)cc(C(F)(F)F)n1,Ki,6.85
CHEMBL220700,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(C#N)ccc3[nH]2)CC1,Ki,6.85
CHEMBL108146,CC(C)(O)c1ccc(CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,Ki,6.85
CHEMBL3739745,CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cnn(C)c2)CC1,Ki,6.85
CHEMBL3139450,Oc1ccc2c(c1)O[C@@H](CNCc1ccc(I)cc1)CC2,Ki,6.85
CHEMBL391256,C#Cc1cccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)c1,Ki,6.85
CHEMBL2207637,COc1ccccc1N1CCN(Cc2cc(CN(C)C)c3cccccc2-3)CC1,Ki,6.85
CHEMBL567454,O=c1[nH]c2cccc(OC3CCN(CC4CCc5[nH]c6ccc(F)cc6c5C4)CC3)c2o1,Ki,6.85
CHEMBL211164,COc1ccccc1N1CCN(Cc2cn3cc(Br)ccc3n2)CC1,Ki,6.85
CHEMBL4080398,O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3ccc(Cl)cc3)CC2)CC1,Ki,6.85
CHEMBL210461,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,Ki,6.85
CHEMBL210405,c1ccc(N2CCN(Cc3cnn(-c4ccccc4)c3)CC2)cc1,Ki,6.85
CHEMBL3318840,O=C(CCCCCCCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,Ki,6.85
CHEMBL25772,Cc1c(-c2ccccc2)cnn1C1CCN(Cc2ccccc2)CC1,Ki,6.85
CHEMBL4579251,O=C(NCCCCN1CCN(c2cccc(O)c2)CC1)c1ccc(-c2ccsc2)cc1,Ki,6.85
CHEMBL4239987,CCCN(CCc1ccc(NC(=O)CCc2cn(CCCCCCNC(=O)COc3cncc(C#Cc4csc(C)n4)c3)nn2)cc1)C1CCc2c(O)cccc2C1,Ki,6.85
CHEMBL376955,N#CCO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,Ki,6.85
7-OH-DPAT,CCCN(CCC)C1CCc2ccc(O)cc2C1,Ki,6.85
CHEMBL4867331,COc1cccc(C(=O)NCc2ccccc2CN2CCc3cc(OC)c(O)cc3C2)c1,Ki,6.85
CHEMBL238718,O=c1c2ccccc2ncn1CCCCN1CCN(c2ccc(Cl)cc2)CC1,Ki,6.85
CHEMBL5414097,COc1cccc2c3c(oc12)CN(C/C=C/COc1ccc2ccc(=O)[nH]c2c1)CC3,Ki,6.85
CHEMBL5414796,CN(C)C(=O)C(CCN1C[C@H](O)C[C@H]1C(=O)NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)(c1ccccc1)c1ccccc1,Ki,6.85
CHEMBL1256169,O=C(CCCN1CCC(O)(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,Ki,6.85
CHEMBL5421272,COc1ccccc1N1CCN(CCCNC(=O)NCc2c(F)cccc2-c2ccccc2)CC1,Ki,6.85
CHEMBL299691,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2ccccc2F)CC1,Ki,6.85
CHEMBL1684135,CCCN1CCc2cccc3c2[C@H]1Cc1cccc(OCCCCN2CCN(c4ccccc4OC)CC2)c1-3,Ki,6.85
CHEMBL3697958,O=C(CC1CC1)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,Ki,6.85
CHEMBL183871,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(I)ccc2s1,Ki,6.85
CHEMBL319352,Cn1nnc(-c2ccc3c(c2)c(C2CCN(CCN4CCNC4=O)CC2)cn3-c2ccc(F)cc2)n1,Ki,6.85
CHEMBL4116172,[N-]=[N+]=NCCSSCCn1cc(C(=O)CCCN2CCC(O)(c3ccc(Cl)cc3)CC2)nn1,Ki,6.85
CHEMBL3613873,COc1ccccc1N1CCN(CCCc2cn(-c3ccn4nccc4c3)nn2)CC1,Ki,6.85
CHEMBL336930,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccnn3c2)CC1,Ki,6.85
CHEMBL156639,CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,Ki,6.85
CHEMBL4444351,COc1ccc2[nH]cc(C3=CCN(Cc4cccs4)CC3)c2c1,Ki,6.85
CHEMBL4463276,COc1ccccc1N1CCN(CCNC(=O)/N=N/c2ccc(F)cc2)CC1,Ki,6.85
CHEMBL4454096,COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccc(-c3ccccc3)cc2)c2ccc(F)cc2)CC1,Ki,6.85
CHEMBL4543263,COc1ccc2[nH]cc(C3=CCN(Cc4ccco4)CC3)c2c1,Ki,6.85
CHEMBL5394431,COc1ccccc1N1CCN(CCCNC(=O)Nc2ccc(F)cc2-c2ccccc2)CC1,Ki,6.85
CHEMBL1928119,CCOCCOc1cccc(C(=O)NCCCN2CCN(c3ccccc3OC)CC2)c1,Ki,6.85
CHEMBL3990113,Clc1ccc2sc(CCCCN3CCc4ccccc4C3)nc2c1,Ki,6.86
CHEMBL3697982,O=C(C[C@@H]1CCCOC1)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,Ki,6.86
CHEMBL3698003,O=C(CC1CCOCC1)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,Ki,6.86
CHEMBL5221189,O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2Cl)CC1,Ki,6.86
CHEMBL4441358,CCc1cccc(N2CCNCC2)c1Cl,Ki,6.86
clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Ki,6.86
CHEMBL3695408,N#CCC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1,Ki,6.86
CHEMBL424678,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)NCc3ccccc3)CC2)cc(C(F)(F)F)n1,Ki,6.86
CHEMBL349833,CC1Cc2cccc3c2N1C(=O)C(N1CCN(Cc2ccc(Cl)cc2)CC1)CC3,Ki,6.86
CHEMBL3353907,COc1ccccc1N1CCN(CCCCc2cn(-c3ccccc3OC)nn2)CC1,Ki,6.86
CHEMBL212444,CO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccc(C)c(C)c1,Ki,6.86
CHEMBL1946253,Fc1ccc(CCCCN2CCCN(c3ccc(Cl)cc3)CC2)cc1,Ki,6.86
CHEMBL3695402,O=S(=O)(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1)c1ccccc1,Ki,6.86
PRECLAMOL,CCCN1CCC[C@@H](c2cccc(O)c2)C1,Ki,6.86
CHEMBL2386613,COc1ccccc1N1CCCN(CCCCNC(=O)c2cc3ccccc3[nH]2)CC1,Ki,6.86
pramipexole,CCCN[C@H]1CCc2nc(N)sc2C1,Ki,6.86
CHEMBL5202054,O=c1n(CCCCCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,Ki,6.86
CHEMBL5414097,COc1cccc2c3c(oc12)CN(C/C=C/COc1ccc2ccc(=O)[nH]c2c1)CC3,Ki,6.86
CHEMBL392066,COc1ccc(F)cc1S(=O)(=O)N[C@H]1CC[C@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,Ki,6.86
CHEMBL4459533,CCc1cc(Cl)c(OC)c(N2CCN(CCCCNC(=O)c3cc4ccccc4o3)CC2)c1,Ki,6.86
CHEMBL1424807,Clc1cccc(N2CCNCC2)c1Cl,Ki,6.86
CHEMBL2430443,COc1ccccc1N1CCN(CCCCn2cc(-c3ccccc3)nn2)CC1,Ki,6.86
CHEMBL108289,COC(=O)c1ccc(CCc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,Ki,6.86
CHEMBL384069,COc1cccc(C(=O)NN2c3ccc(Cl)cc3N=C(N3CCN(C)CC3)c3cc(Cl)ccc32)c1,Ki,6.86
CHEMBL4471658,Cc1cc(C(N)=O)c(-c2cccc(OC(=O)NCCN3CCN(c4ccccc4)CC3)c2)o1,Ki,6.86
CHEMBL203362,O=c1[nH]c2[nH]c(-c3ccccc3)cc2c(=O)n1CCN1CCN(c2ccccc2Cl)CC1,Ki,6.86
CHEMBL326863,CCOc1ccc(Cl)cc1CN1CCN(CC(=O)N2c3ccccc3C[C@H]2C)CC1,Ki,6.87
CHEMBL4742056,C[C@H]1C=C(C2=Nc3cc(Cl)ccc3Nc3ccc(C#N)cc32)CCN1C,Ki,6.87
CHEMBL242434,CC(=O)OC(CCNC(=O)c1ccc(-c2ccccn2)cc1)CN1CCN(c2cccc(Cl)c2Cl)CC1,Ki,6.87
CHEMBL4551220,CCN1CCN(c2ccc3c(c2)N(S(=O)(=O)c2ccccc2)CC3)CC1,Ki,6.87
CHEMBL148353,Clc1ccc2c(c1)C(NC1CC3CCC(C1)N3Cc1ccccc1)=Nc1cccnc1N2,Ki,6.87
CHEMBL3647705,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccncc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](N(CCSC[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)CCSC[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)CCCCNC(=O)[C@H](Cc2ccccc2)NC1=O,Ki,6.87
CHEMBL391530,COc1ccc(S(=O)(=O)N[C@H]2CC[C@@H](N3CCN(c4ccccc4OC(C)C)CC3)CC2)cc1OC,Ki,6.87
CHEMBL394189,O=C(NCCCCN1CCCN(C(c2ccccc2)c2ccccc2)CC1)c1ccc2ccccc2c1,Ki,6.87
CHEMBL314536,CCCN1CCC[C@@H](c2cccc(-c3ccsc3)c2)C1,Ki,6.87
CHEMBL3977072,O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NCc1ccc(OCCN2CCOCC2)cc1,Ki,6.87
CHEMBL2430438,COc1ccccc1N1CCN(CCCCn2cc(-c3ccc(-c4cnco4)cc3)nn2)CC1,Ki,6.87
CHEMBL321492,COc1c(C(=O)N[C@H]2CN(Cc3ccccc3)C[C@H]2C)cc(Br)c2ccccc12,Ki,6.87
CHEMBL3697967,CC(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,Ki,6.87
CHEMBL346692,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1,Ki,6.87
CHEMBL3695405,O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1)C1CCOC1,Ki,6.87
CHEMBL5080955,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1ccc(F)c(Cl)c1,Ki,6.87
CHEMBL3818805,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCCc2c[nH]c3ccccc23)CC1,Ki,6.87
CHEMBL93570,CCc1sccc1N1CCC[C@@H](c2cccc(C#N)c2)C1,Ki,6.87
CHEMBL5427695,COc1cccc(N2CCN(CC[C@H]3CC[C@H](NC(=O)N(C)C)CC3)CC2)c1F,Ki,6.87
CHEMBL514908,COc1cc(F)cc(N2CCN(CCCCNC(=O)c3ccc(-n4ccnc4)cc3)CC2)c1,Ki,6.88
CHEMBL3139302,Oc1ccc2c(c1)O[C@@H](CNCCN1CCN(c3ccc(I)cc3)CC1)CC2,Ki,6.88
CHEMBL94371,O=C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Ki,6.88
CHEMBL51433,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,Ki,6.88
CHEMBL3760110,O=C(NCCCCN1CCN(c2cccc3[nH]c(=O)[nH]c23)CC1)c1ccc2ccccc2c1,Ki,6.88
CHEMBL135048,CNC1CCc2c(cccc2OC)C1,Ki,6.88
CHEMBL4451683,CCc1cccc(N2CCN(CC(O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl,Ki,6.88
CHEMBL366904,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,Ki,6.88
CHEMBL5222300,O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2[N+](=O)[O-])CC1,Ki,6.88
CHEMBL12375,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccccc2)c2ccc(F)cc2)cc1,Ki,6.88
CHEMBL3664831,COC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1,Ki,6.88
CHEMBL3664828,Cc1ccc(C(=O)N[C@H]2CC[C@H](CCN3CCC(c4cccc5c4OCO5)CC3)CC2)cn1,Ki,6.88
CHEMBL228278,COc1ccc(S(=O)(=O)N[C@H]2CC[C@H](N3CCC(c4ccccc4OC4CC4)CC3)CC2)cc1OC,Ki,6.88
CHEMBL4466356,CCOc1ccc2[nH]cc(C3=CCN(Cc4ccc(OC)cc4)CC3)c2c1,Ki,6.88
CHEMBL2331599,Cc1cc2c(cc1O)[C@H]1C[C@](O)(c3ccc(Cl)cc3)CCN1CC2,Ki,6.88
CHEMBL4080034,COc1ccc(Cl)cc1OC[C@@H]1CN(Cc2ccc(Cl)cc2)CCO1,Ki,6.88
CHEMBL211732,CO/N=C(\CCN1CCN(c2ccccn2)CC1)c1cc(F)cc(F)c1,Ki,6.88
CHEMBL4246881,COc1cc(CN2CCN(c3ccccc3OC)CC2)ccc1OCc1cn(CCCCCCCCN(C)CCCCCNC(=O)COc2cncc(C#Cc3csc(C)n3)c2)nn1,Ki,6.88
CHEMBL497749,COc1ccccc1N1CCN(CCCNS(=O)(=O)c2ccc3ccccc3c2)CC1,Ki,6.88
CHEMBL78067,C(#Cc1ccccc1)COCCC1CCN(CCc2ccccc2)CC1,Ki,6.88
CHEMBL1739782,COc1ccccc1N1CCN(C/C=C/CNC(=O)c2ccc(CCF)cc2)CC1,Ki,6.88
CHEMBL4569757,O=C1c2ccccc2S(=O)(=O)N1CCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,Ki,6.88
CHEMBL3697968,CC(C)CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,Ki,6.88
CHEMBL313851,FC(F)(F)c1nc2c3c(ccc2[nH]1)CCC(CNCc1ccccc1)O3,Ki,6.88
CHEMBL305276,CN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)Cc2ccccc21,Ki,6.88
CHEMBL3905582,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1csnn1,Ki,6.89
CHEMBL80845,CCCN1CCc2nn3ccccc3c2C1,Ki,6.89
CHEMBL3613879,Clc1cccc(N2CCN(CCCc3cn(-c4ccn5nccc5c4)nn3)CC2)c1Cl,Ki,6.89
CHEMBL552268,COc1ccccc1N1CCN(Cc2cc3c(=O)[nH]c(N(C)C)nc3[nH]2)CC1,Ki,6.89
CHEMBL5403204,COc1ccc(-c2ccccc2)c(CNC(=O)NCCCN2CCN(c3ccccc3OC)CC2)c1,Ki,6.89
clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Ki,6.89
CHEMBL3798748,COc1cc(CCNC[C@H](O)c2ccc(O)c3c2OCC(=O)N3)ccc1OCCCc1ccccc1,Ki,6.89
